SPA_ACCOUNT_NAME|A|1726,471,416,35|1|?
SPA_NAME|A|1261,584,949,45|1|?
PROPRIETOR_ID|N|1403,690,565,65|1|?
PARTNER_ACCOUNT_NAME|A|1681,813,584,42|1|?
PARTNERSHIP_NAME1|A|1190,1129,426,65|1|?
PARTNERSHIP_CUST_ID1|N|1616,1126,233,68|1|?
PARTNERSHIP_SIGN1|S|1852,1126,423,71|1|?
PARTNERSHIP_NAME2|A|1193,1194,423,74|1|?
PARTNERSHIP_CUST_ID2|N|1616,1197,236,71|1|?
PARTNERSHIP_SIGN2|S|1852,1197,423,71|1|?
PARTNERSHIP_NAME3|A|1193,1271,423,62|1|?
PARTNERSHIP_CUST_ID3|N|1619,1271,233,55|1|?
PARTNERSHIP_SIGN3|S|1845,1268,430,58|1|?
PARTNERSHIP_NAME4|A|1193,1329,420,71|1|?
PARTNERSHIP_CUST_ID4|N|1613,1333,232,67|1|?
PARTNERSHIP_SIGN4|S|1842,1329,433,68|1|?
PARTNERSHIP_NAME5|A|1197,1400,416,71|1|?
PARTNERSHIP_CUST_ID5|N|1616,1400,236,65|1|?
PARTNERSHIP_SIGN5|S|1845,1404,433,61|1|?
PARTNERSHIP_NAME6|A|1200,1465,416,68|1|?
PARTNERSHIP_CUST_ID6|N|1616,1462,233,67|1|?
PARTNERSHIP_SIGN6|S|1845,1465,420,64|1|?
PARTNERSHIP_NAME7|A|1200,1529,413,55|1|?
PARTNERSHIP_CUST_ID7|N|1610,1523,242,61|1|?
PARTNERSHIP_SIGN7|S|1842,1526,433,55|1|?
HUF_ACCOUNT_NAME|A|1158,1665,1126,74|1|?
FIRST_SIGN_NAME|A|1287,1749,439,42|1|?
NAME_KARTA|A|1164,2230,504,61|1|?
KARTA_CUSTID|N|1668,2188,232,103|1|?
KARTA_SIGN|S|1900,2185,362,106|1|?
NAME_ADULT_COPARCENERS1|A|1203,2336,462,58|1|?
ADULT_COPARCENERS_CUSTID1|N|1668,2291,229,110|1|?
ADULT_COPARCENERS_SIGN1|S|1894,2294,377,100|1|?
NAME_ADULT_COPARCENERS2|A|1206,2404,459,58|1|?
ADULT_COPARCENERS_CUSTID2|N|1661,2401,233,55|1|?
ADULT_COPARCENERS_SIGN2|S|1894,2391,374,65|1|?
NAME_ADULT_COPARCENERS3|A|1206,2462,459,58|1|?
ADULT_COPARCENERS_CUSTID3|N|1665,2459,232,58|1|?
ADULT_COPARCENERS_SIGN3|S|1897,2449,378,65|1|?
NAME_ADULT_COPARCENERS4|A|1206,2514,455,64|1|?
ADULT_COPARCENERS_CUSTID4|N|1665,2520,235,58|1|?
ADULT_COPARCENERS_SIGN4|S|1894,2517,377,61|1|?
NAME_MINOR_COPARCENERS1|A|1200,2636,629,59|1|?
NAME_MINOR_DOB_COPARCENERS1|N|2065,2646,200,61-1962,2649,106,55-1849,2646,116,61|1|?
NAME_MINOR_COPARCENERS2|A|1200,2701,626,55|1|?
NAME_MINOR_DOB_COPARCENERS2|N|2065,2701,206,61-1962,2704,106,58-1849,2704,113,62|1|?
NAME_MINOR_COPARCENERS3|A|1197,2756,632,61|1|?
NAME_MINOR_DOB_COPARCENERS3|N|2068,2756,203,61-1958,2766,110,51-1855,2762,100,62|1|?
IMAGE_PHOTO_1|P|51,458,394,429|1|?
IMAGE_SIGN_1|S|442,455,700,439|1|?
IMAGE_PHOTO_2|P|54,945,394,423|1|?
IMAGE_SIGN_2|S|455,942,684,436|1|?
IMAGE_PHOTO_3|P|51,1433,394,413|1|?
IMAGE_SIGN_3|S|448,1423,691,442|1|?
IMAGE_PHOTO_4|P|54,1910,394,430|1|?
IMAGE_SIGN_4|S|445,1913,694,423|1|?
IMAGE_PHOTO_5|P|54,2391,394,423|1|?
IMAGE_SIGN_5|S|445,2394,700,426|1|?
